360yield.com,
5min.com,
abmr.net,
adap.tv,
adbrn.com,
adform.net,
admized.com,
adnxs.com,
adsonar.com,
adsrvr.org,
adtech.de,
advertising.com,
aol.com,
aolcdn.com,
atwola.com,
bidswitch.net,
bidtheatre.com,
bluekai.com,
casalemedia.com,
chango.com,
chargeads.com,
domdex.com,
doubleclick.net,
dpclk.com,
facebook.com,
facebook.net,
google-analytics.com,
googlesyndication.com,
gravatar.com,
gravity.com,
grvcdn.com,
gstatic.com,
impdesk.com,
korrelate.net,
linkedin.com,
livefyre.com,
mathtag.com,
mdn.net,
mediadecision.com,
metrigo.net,
netmng.com,
openx.net
pubmatic.com,
quantserve.com,
questionmarket.com,
rfihub.com,
rubiconproject.com,
rundsp.com,
scorecardresearch.com,
sitescout.com,
tacoda.net,
tapad.com,
techcrunch.com,
triggit.com,
turn.com,
twitter.com,
wordpress.com,
wp.com,
yahoo.com,